device_name,resistance,capacitance,temperature,voltage,frequency,file_name
e11,800.0,1e-09,300,0.85,5030.263692747269,3S04-e11-0.8kOhm-1nF-300K-0.850V.csv
e11,800.0,1e-08,300,1.02,42703.827051291206,ANB9-e11-0.8kOhm-10nF-300K-1.020V.csv
e11,800.0,1e-09,300,0.925,147642.92449259805,4VQ5-e11-0.8kOhm-1nF-300K-0.925V.csv
e11,800.0,1e-08,300,0.99,65785.75350122167,8G0C-e11-0.8kOhm-10nF-300K-0.990V.csv
e11,800.0,1e-09,300,0.93,134912.5710314537,K5JY-e11-0.8kOhm-1nF-300K-0.930V.csv
e11,800.0,1e-09,300,0.85,608.3283145344222,F8QE-e11-0.8kOhm-1nF-300K-0.850V.csv
e11,800.0,1e-08,300,0.95,25112.665441059464,2CTL-e11-0.8kOhm-10nF-300K-0.950V.csv
e11,800.0,1e-08,300,0.89,50250.80933595595,58AD-e11-0.8kOhm-10nF-300K-0.890V.csv
e5,800.0,1e-08,300,0.97,58092.95376419759,DPQA-e5-0.800kOhm-10nF-300K-0.970V.csv
e7,800.0,1e-08,300,0.935,47947.46809548459,832W-e7-0.800kOhm-10nF-300K-0.935V.csv
e6,800.0,1e-08,300,0.96,60854.43214935518,4W5E-e6-0.800kOhm-10nF-300K-0.960V.csv
e12,800.0,1e-08,300,0.9,30010.792265468055,VNDQ-e12-0.8kOhm-10nF-300K-0.900V.csv
e11,800.0,1e-08,300,0.86,63260.25122701511,4QE1-e11-0.8kOhm-10nF-300K-0.860V.csv
e7,800.0,1e-08,300,0.941,198.13262421496447,RRR5-e7-0.800kOhm-10nF-300K-0.941V.csv
e12,800.0,1e-08,300,0.83,59608.662129633376,8IVV-e12-0.8kOhm-10nF-300K-0.830V.csv
e5,800.0,1e-08,300,0.98,56836.81790852719,TGFF-e5-0.800kOhm-10nF-300K-0.980V.csv
e7,800.0,1e-08,300,1.0,30448.46855037701,C9LN-e7-0.800kOhm-10nF-300K-1.000V.csv
e9,800.0,1e-08,300,1.004,8889.160329922803,3SNG-e9-0.8kOhm-10nF-300K-1.004V.csv
e12,800.0,1e-08,300,0.85,66154.90952681651,8WY9-e12-0.8kOhm-10nF-300K-0.850V.csv
e12,800.0,1e-08,300,0.88,44008.237014345475,MK9O-e12-0.8kOhm-10nF-300K-0.880V.csv
e4,800.0,1e-08,300,1.06,21591.53332580572,XYQU-e4-0.800kOhm-10nF-300K-1.060V.csv
e11,800.0,1e-08,300,0.815,46993.78715331436,0HFR-e11-0.8kOhm-10nF-300K-0.815V.csv
e8,800.0,1e-08,300,1.008,42797.81074950773,C4AG-e8-0.800kOhm-10nF-300K-1.008V.csv
e12,800.0,1e-08,300,0.802,48341.13426970395,5YS2-e12-0.8kOhm-10nF-300K-0.802V.csv
e7,800.0,1e-08,300,0.95,46205.69264723012,MRLF-e7-0.800kOhm-10nF-300K-0.950V.csv
e9,600.0,1e-08,300,0.999,3496.3768628137163,Y4PS-e9-0.6kOhm-10nF-300K-0.999V.csv
e10,800.0,1e-08,300,1.05,1322.2810672670068,PEDM-e10-0.8kOhm-10nF-300K-1.050V.csv
e12,800.0,1e-08,300,0.86,68629.00223181583,QS6Z-e12-0.8kOhm-10nF-300K-0.860V.csv
e12,800.0,1e-08,300,0.798,47136.79259127748,6MIH-e12-0.8kOhm-10nF-300K-0.798V.csv
e9,850.0,1e-08,300,1.035,39845.10158691492,BFYM-e9-0.850kOhm-10nF-300K-1.035V.csv
e10,800.0,1e-08,300,1.1,8925.03899632536,86CR-e10-0.8kOhm-10nF-300K-1.100V.csv
e8,800.0,1e-08,300,0.93,37051.09704557975,VUEL-e8-0.800kOhm-10nF-300K-0.930V.csv
e8,800.0,1e-08,300,0.94,44687.57196945505,L98M-e8-0.800kOhm-10nF-300K-0.940V.csv
e10,800.0,1e-08,300,1.03,905.93060797419,PM1V-e10-0.8kOhm-10nF-300K-1.030V.csv
e11,800.0,1e-08,300,0.84,55616.79295295663,Q4G0-e11-0.8kOhm-10nF-300K-0.840V.csv
e12,800.0,1e-08,300,0.79,43059.5621275218,SFS6-e12-0.8kOhm-10nF-300K-0.790V.csv
